Window_Minutes,Trial_ID,Model,Target,Cell,RMSE,MAE,MedAE,RMSE_frac,MAE_frac,MedAE_frac,r,R2,m,c
1,12,Random Forest,RUL,5,1469.3100334371145,1362.128205128205,1352.0,0.5730309130404747,0.53123,0.52728,0.9369623943731937,-0.005328534645341776,1.0077967938669539,1342.136425982168
1,12,Random Forest,RUL,6,1424.1813933013032,1272.948717948718,1079.0,0.576172970318992,0.5149896265560167,0.4365248962655602,0.9505685563202412,-0.0800726483727312,1.2740044182724624,572.5377968855022
1,12,Random Forest,RUL,7,2202.228963063098,1969.202380952381,2075.0,0.5432279744439122,0.4857468676585748,0.5118441660140955,0.9638954719660245,0.19369557917155367,0.5584457033049888,-89.82988292212947
1,12,Random Forest,RUL,8,1033.093312177882,712.2083333333334,331.0,0.27176733093462735,0.1873547679941542,0.08707343807088053,0.9400244638216473,0.8072192976214908,0.6835193803743637,1618.0242443268992
1,13,Random Forest,RUL,1,599.121636476365,517.7647058823529,466.0,0.1406777323217984,0.12157458563535911,0.10941988950276242,0.9893981009366214,0.9416157889997326,0.9541587145249114,-279.56417244727106
1,13,Random Forest,RUL,2,816.0176040740361,573.7460317460317,373.0,0.20957647393666642,0.14735426008968608,0.09579698328577252,0.9547776454581792,0.8615201370076908,1.1016579827362347,-620.0429073841007
1,13,Random Forest,RUL,3,338.1488456154254,260.04477611940297,207.0,0.0796063691364494,0.06121925509486998,0.04873155305692199,0.9908559922928301,0.9796878102666382,0.9407930249859521,204.31798640295662
1,13,Random Forest,RUL,4,2111.6284895901504,2048.048780487805,1920.0,0.8046168036542394,0.7803903345724906,0.7315985130111524,0.9888521314839882,-0.8333936927946306,1.2687778902928812,1342.670707426487
1,13,Random Forest,RUL,5,1447.6911982724616,1308.361111111111,1429.5,0.5206481831948913,0.4705394605394605,0.5141058941058941,0.9077681241525777,-0.17748759423431237,1.0051103500596077,1294.1514988620354
1,13,Random Forest,RUL,6,1577.9433291471528,1440.75,1573.5,0.5909900109165366,0.5396067415730337,0.5893258426966292,0.9279724375696817,-0.16781818395009607,1.083462314150368,1216.405621218516
1,13,Random Forest,RUL,7,2189.1707010210407,1981.3432835820895,2163.0,0.533944073419766,0.48325445941026574,0.5275609756097561,0.9734333049312537,0.11941811101360245,0.5648900285212811,-130.7356841014328
